country,lead_time,total_of_special_requests,agent,required_car_parking_spaces,customer_type,stays_in_weekend_nights,stays_in_week_nights,booking_changes,record_count,arrival_date_week_number,adr
PRT,43,0,240,0,Transient,2,4,0,1,32,202.0
FRA,48,0,9,0,Transient,0,2,0,1,15,144.0
FRA,1,0,None / Unknown,0,Transient,0,1,0,1,37,90.0
GBR,332,0,40,0,Transient,4,10,0,1,36,70.0
ITA,36,1,240,0,Transient,2,4,0,1,32,230.0
GBR,211,0,240,0,Transient,0,3,0,1,43,67.8
ESP,1,0,14,0,Transient,1,1,0,1,13,89.0
GBR,29,1,7,0,Transient,2,0,0,1,18,85.59
ESP,33,1,250,0,Transient,2,5,1,1,31,145.0
PRT,23,2,9,0,Transient,0,1,0,1,46,130.0
PRT,32,0,9,0,Transient,0,1,0,1,3,78.3
BRA,105,0,9,0,Transient,0,3,0,1,25,162.0
ISR,16,2,9,0,Transient,2,1,0,1,19,153.0
IRL,110,1,7,0,Transient,1,3,2,1,13,96.12
KOR,6,2,9,0,Transient,1,1,0,1,22,119.0
GBR,57,0,40,0,Contract,2,5,0,1,22,106.0
PRT,5,1,None / Unknown,0,Transient,0,1,0,1,33,144.0
GBR,79,1,42,0,Transient,2,1,0,1,12,72.0
BRA,116,1,9,0,Transient,0,3,0,1,47,122.4
AUT,85,2,9,0,Transient,2,2,0,1,29,142.2
GBR,100,1,40,0,Contract,2,5,0,1,17,31.45
USA,78,1,9,0,Transient,0,3,0,1,27,120.0
FRA,20,1,9,0,Transient,1,1,0,1,22,143.0
FRA,30,1,9,0,Transient,0,4,0,1,31,135.9
ARG,1,1,None / Unknown,1,Transient,1,0,0,1,5,64.0
ESP,3,0,None / Unknown,1,Transient,1,0,0,1,12,0.0
ITA,38,1,250,1,Transient,2,1,1,1,30,162.0
KAZ,13,0,9,0,Transient,1,3,0,1,18,260.5
PRT,185,0,6,0,Transient,0,5,0,1,32,155.1
BRA,47,1,241,0,Transient,2,1,0,1,35,103.18
NOR,172,0,9,0,Transient,0,3,0,1,41,125.1
FRA,72,2,240,0,Transient,2,5,0,1,3,92.0
IRL,24,0,418,0,Transient,4,5,0,1,13,61.33
GIB,161,0,240,0,Transient,1,2,0,1,35,178.67
FRA,24,1,7,0,Transient,0,4,0,1,23,104.61
GBR,8,2,7,0,Transient,2,1,0,1,34,253.51
PRT,78,0,240,0,Transient,1,0,0,1,14,86.0
FRA,9,1,155,0,Transient,1,1,0,1,25,107.0
PRT,78,0,36,1,Transient,0,4,0,1,41,64.29
GBR,69,0,147,0,Transient,2,3,0,1,13,59.62
CN,159,2,9,0,Transient,1,1,0,1,14,99.0
HUN,23,1,240,0,Transient,2,5,0,1,31,187.57
GBR,84,0,None / Unknown,0,Transient-Party,0,1,2,1,38,60.0
NLD,47,1,9,0,Transient,0,2,0,1,8,80.3
FRA,68,0,28,0,Transient,2,1,0,1,48,60.0
BEL,1,0,None / Unknown,0,Transient,0,3,1,1,8,45.0
FRA,20,1,9,0,Transient,0,2,0,1,46,185.0
ESP,291,1,240,0,Transient,1,5,2,1,32,138.38
PRT,1,0,127,0,Transient,0,1,0,1,9,34.4
PRT,6,0,146,0,Transient,0,1,0,1,18,45.0
PRT,189,1,None / Unknown,0,Transient,4,6,1,1,28,160.0
PRT,1,1,9,0,Transient,0,1,0,1,15,89.0
DEU,247,1,6,0,Transient-Party,1,1,0,5,24,115.0
PRT,1,0,None / Unknown,0,Transient,0,1,0,1,19,89.0
PRT,352,1,240,0,Transient,4,10,0,1,31,190.96
PRT,3,0,250,1,Transient,1,2,1,1,14,78.0
PRT,1,0,None / Unknown,0,Transient,0,2,0,1,43,0.0
FRA,15,1,9,0,Transient,0,1,0,2,26,89.0
FRA,81,0,28,0,Transient,1,2,0,2,51,75.0
IRL,206,1,240,0,Transient,2,5,8,1,44,53.79
BRA,127,0,9,0,Transient,1,2,0,1,25,162.0
LUX,64,1,9,0,Transient,1,2,0,2,47,86.4
BGR,192,0,34,0,Transient-Party,0,2,0,1,26,95.0
FRA,89,3,9,0,Transient,2,3,0,1,27,107.1
GBR,3,0,138,0,Transient,0,1,0,1,30,85.0
PRT,51,1,9,0,Transient,0,2,0,1,50,79.2
IRL,47,0,9,0,Transient,2,1,0,1,24,210.0
PRT,44,2,250,0,Transient-Party,0,4,0,1,15,83.0
PRT,43,0,1,0,Transient-Party,0,2,1,1,27,43.0
GBR,324,0,243,0,Contract,4,10,0,1,33,134.85
PRT,165,0,95,0,Transient,2,5,0,1,30,100.8
ITA,26,2,9,0,Transient,2,1,0,1,16,214.0
KOR,3,0,9,1,Transient-Party,0,1,0,1,10,104.0
ESP,4,2,250,1,Transient,1,1,0,1,7,106.0
BEL,82,0,9,0,Transient-Party,1,2,1,1,14,81.9
CHE,105,2,9,0,Transient,0,4,0,1,14,117.0
USA,155,1,9,0,Transient,0,1,0,1,19,144.0
PRT,4,0,None / Unknown,0,Transient-Party,0,4,0,2,8,45.0
BEL,35,1,9,0,Transient,2,4,0,1,7,78.3
BEL,45,1,9,0,Transient,0,3,0,1,8,83.3
ESP,56,0,None / Unknown,0,Transient-Party,1,3,0,1,10,72.0
ESP,6,1,240,0,Transient,2,0,0,1,9,43.0
PRT,1,0,None / Unknown,0,Transient-Party,1,1,0,1,50,30.0
FRA,16,1,7,0,Transient,0,3,0,1,40,103.36
GBR,79,0,9,0,Transient,0,3,0,1,16,171.0
PRT,11,2,240,0,Group,0,1,0,1,53,103.0
ITA,202,2,9,0,Transient,0,3,0,1,43,96.3
HUN,25,1,None / Unknown,1,Transient,0,2,0,1,21,0.0
GBR,12,1,7,0,Transient,2,1,0,1,7,67.76
PRT,1,0,250,0,Transient,0,2,0,1,31,213.75
DEU,110,1,15,0,Transient,0,4,0,1,30,113.76
FRA,20,1,9,0,Transient,2,5,0,1,31,230.0
GBR,223,1,243,0,Contract,4,10,0,1,36,70.0
PRT,31,0,459,0,Transient-Party,0,0,2,1,20,0.0
DEU,386,0,6,0,Transient-Party,2,0,0,1,44,109.0
GBR,28,3,9,0,Transient,1,2,0,1,20,153.33
ESP,97,1,9,0,Transient-Party,0,2,0,1,15,96.3
PRT,12,1,240,0,Transient,0,4,0,1,34,243.5
GBR,95,1,9,0,Transient,0,3,0,1,44,104.4
PRT,1,1,152,0,Transient,0,1,0,1,52,59.03
FRA,69,1,250,1,Transient,0,2,1,1,13,92.0
PRT,87,0,71,0,Transient,2,5,0,7,18,46.0
ESP,2,1,240,0,Transient,0,1,0,1,21,89.0
BEL,174,0,9,0,Transient,2,2,0,1,37,109.65
GBR,3,0,314,0,Transient,1,4,0,1,4,29.0
BEL,73,1,9,0,Transient,0,2,0,1,49,79.2
DEU,129,0,9,0,Transient,1,2,0,2,21,126.0
PRT,1,0,9,0,Transient,0,2,0,1,32,98.0
PRT,38,1,None / Unknown,0,Transient,1,3,1,1,15,106.0
FRA,174,2,9,0,Transient-Party,2,3,0,1,28,89.1
IRL,310,0,240,0,Transient,3,7,0,2,24,80.1
PRT,77,0,250,0,Transient,0,3,0,1,28,97.0
FRA,73,0,28,0,Transient,2,1,0,1,50,60.0
AUT,78,0,8,0,Transient,1,1,0,2,30,105.3
DEU,120,0,9,0,Transient,2,2,0,1,13,92.95
USA,23,1,None / Unknown,0,Transient,1,0,0,1,11,85.0
BRA,6,1,9,0,Transient,0,1,0,1,16,131.0
NLD,134,2,9,0,Transient,1,5,0,1,53,163.34
AUS,289,0,240,0,Transient,0,4,0,1,30,172.8
PRT,1,0,9,0,Transient,1,0,0,1,53,106.0
BEL,34,0,9,0,Transient,0,4,0,1,8,98.6
PRT,199,1,9,0,Contract,1,2,0,1,18,106.2
KOR,14,1,9,0,Transient,1,1,0,1,4,69.5
IND,43,1,241,0,Transient,2,4,0,1,17,97.79
PRT,1,0,9,0,Transient,0,1,0,1,38,200.0
PRT,44,0,14,0,Transient,0,3,0,1,18,95.1
NLD,12,0,9,0,Transient,1,2,2,1,18,122.33
PRT,11,0,None / Unknown,0,Transient,1,0,0,1,17,102.6
ITA,120,0,9,0,Transient,0,4,0,1,33,114.3
CHN,50,0,9,0,Transient,0,2,0,1,46,145.69
PRT,15,0,240,1,Transient,0,2,0,1,39,140.0
FRA,41,0,28,0,Transient,1,3,0,1,44,85.0
GBR,229,1,314,0,Transient,2,4,0,1,19,70.4
DEU,102,2,9,0,Transient,0,1,0,1,28,130.5
AUT,125,1,9,0,Transient,1,1,1,1,15,103.5
GBR,54,1,9,0,Transient,2,2,0,1,32,210.0
ESP,58,1,9,0,Transient,0,2,0,1,2,79.2
PRT,88,0,3,0,Transient-Party,0,3,1,3,19,96.0
IRL,104,1,6,0,Transient,2,5,0,1,18,55.71
PRT,79,0,28,0,Transient,2,2,0,1,3,70.0
PRT,272,0,315,0,Contract,2,5,0,1,30,156.6
FRA,65,1,9,0,Transient,0,2,0,1,37,149.4
PRT,67,2,9,0,Contract,0,1,0,1,46,72.25
GBR,222,0,None / Unknown,0,Transient-Party,2,5,2,1,22,66.0
PRT,2,0,14,0,Transient,0,1,0,1,47,98.0
IRL,141,0,147,0,Transient,1,3,0,1,36,128.9
ESP,16,0,1,0,Transient-Party,2,2,0,1,32,0.0
PRT,12,2,None / Unknown,0,Transient,0,1,0,1,34,0.0
PRT,132,1,9,0,Contract,0,2,0,1,15,107.0
HUN,169,0,9,0,Transient,1,0,3,2,27,107.1
PRT,23,1,6,0,Transient,1,2,0,1,24,129.0
FRA,34,0,9,0,Transient,2,1,0,1,8,100.0
FRA,47,2,9,0,Transient,2,2,4,1,51,93.6
FRA,283,2,9,0,Transient,1,2,0,1,52,110.7
PRT,7,0,None / Unknown,0,Transient,0,2,0,1,12,0.0
IRL,252,1,9,0,Transient,1,2,0,1,17,142.2
PRT,9,0,None / Unknown,1,Transient,2,1,2,1,44,42.0
PRT,231,1,9,0,Transient-Party,2,2,0,1,38,100.3
FRA,175,2,9,0,Transient,2,2,0,2,14,117.0
CN,159,0,410,0,Transient,2,2,0,1,22,58.2
GBR,1,0,None / Unknown,1,Transient,1,0,0,1,42,91.0
DEU,206,1,9,0,Transient,2,0,0,1,16,99.0
CHE,62,0,240,0,Transient,1,0,0,1,21,49.0
PRT,43,2,None / Unknown,1,Transient,1,1,0,1,17,82.0
PRT,149,0,240,0,Transient,2,6,0,1,36,153.0
PRT,15,0,250,1,Transient,2,5,0,1,35,239.43
ESP,42,0,250,1,Transient,0,5,3,1,46,114.0
ESP,47,0,1,0,Transient-Party,2,1,1,1,49,84.0
ESP,172,1,9,0,Transient-Party,0,3,0,1,35,137.7
PRT,1,1,240,1,Transient,1,1,0,1,2,75.0
DEU,85,0,31,0,Transient-Party,0,3,1,1,40,100.0
GBR,16,0,240,1,Transient,0,2,1,1,25,234.0
PRT,29,3,9,0,Transient,0,3,0,1,44,136.0
ESP,59,0,9,0,Transient,0,2,0,3,25,130.0
USA,62,2,9,0,Transient,2,1,0,1,36,109.8
BRA,8,1,240,0,Transient,0,2,0,1,21,45.9
PRT,54,0,None / Unknown,0,Transient-Party,0,1,1,1,49,81.0
PRT,20,0,None / Unknown,0,Transient-Party,1,0,1,2,1,65.0
ITA,232,1,9,0,Transient,0,4,0,1,34,81.82
PRT,102,1,240,0,Transient,2,5,0,1,27,110.7
PRT,5,2,None / Unknown,0,Transient,0,1,0,1,10,80.0
GBR,20,1,9,0,Transient,0,2,0,1,26,115.0
PRT,11,1,250,0,Transient,0,1,0,1,42,85.0
FRA,1,1,240,0,Transient,0,1,0,1,49,63.0
USA,37,2,241,0,Transient,2,3,0,1,35,132.44
GBR,82,0,240,0,Transient-Party,1,3,0,2,19,87.0
MEX,124,2,9,0,Transient,1,2,0,1,32,143.7
BRA,77,0,240,0,Transient,2,2,0,1,6,46.5
GBR,336,0,None / Unknown,0,Transient-Party,0,2,1,1,38,66.0
GBR,62,2,240,0,Transient,2,5,1,1,28,248.29
DEU,96,2,9,0,Transient,1,4,2,1,43,132.3
ITA,1,1,9,0,Transient,0,1,0,1,10,96.0
POL,283,1,315,0,Transient,2,5,1,1,37,130.8
FRA,111,1,9,0,Transient-Party,1,3,0,2,15,82.45
PRT,1,0,240,0,Transient,1,1,1,1,32,241.0
DEU,18,0,240,0,Transient,0,2,0,1,23,118.8
CN,31,0,96,0,Transient,4,10,0,1,12,52.2
CHE,1,0,240,1,Transient,0,1,0,1,40,115.0
PRT,152,1,142,0,Contract,2,6,1,1,29,126.1
GBR,208,2,240,0,Transient,4,7,1,1,31,231.0
USA,49,1,9,0,Transient,2,4,0,1,12,106.25
ESP,158,0,240,0,Transient,1,3,0,1,30,175.0
USA,23,0,9,0,Transient,0,1,0,1,28,220.0
FRA,265,0,85,0,Transient,2,5,0,1,32,72.25
GBR,177,0,314,0,Transient,3,7,0,1,26,101.95
BRA,26,2,9,0,Transient,1,4,0,1,4,99.88
PRT,6,0,None / Unknown,0,Transient,1,4,1,1,44,110.0
ESP,5,0,14,0,Transient,2,2,0,1,35,89.0
AUS,115,2,240,0,Transient,2,0,0,1,31,209.0
PRT,182,2,9,0,Transient,1,3,0,1,27,76.5
ESP,18,2,9,0,Transient,0,2,0,1,39,149.0
PRT,3,1,14,1,Transient,1,2,0,1,36,105.33
PRT,1,2,None / Unknown,0,Transient,0,1,0,1,9,0.0
IRL,157,1,9,0,Transient,1,3,0,1,29,101.58
PRT,7,0,9,0,Transient,1,0,0,1,21,89.0
IRL,150,0,9,0,Transient,2,1,0,2,13,99.0
PRT,227,1,250,0,Transient,2,4,0,1,33,276.6
PRT,161,2,9,0,Transient-Party,0,2,6,1,34,82.35
ITA,21,0,9,0,Transient,1,3,0,1,39,234.0
PRT,72,1,149,1,Transient,2,5,0,1,33,133.0
PRT,13,0,146,0,Transient,0,1,0,1,44,39.0
GBR,33,2,9,0,Transient-Party,2,1,2,1,10,78.5
PRT,223,0,7,0,Transient,2,3,0,3,40,73.96
ESP,91,2,9,0,Transient,1,2,0,1,30,195.0
DEU,69,0,132,0,Transient,1,3,0,1,10,81.0
PRT,30,0,250,0,Transient,1,2,0,1,35,152.0
GBR,16,0,7,0,Transient,0,3,1,1,5,48.05
PRT,150,0,240,0,Transient,1,3,0,1,33,262.0
PRT,118,0,37,0,Transient-Party,1,1,1,10,24,120.0
GBR,253,0,240,0,Transient,2,3,5,1,28,188.0
BEL,69,2,9,0,Transient,2,2,0,1,17,110.08
DEU,34,1,9,0,Transient,2,1,1,1,22,98.1
BRA,83,2,9,0,Transient,2,3,1,1,17,12.0
PRT,1,2,9,0,Transient,0,0,0,1,40,0.0
BEL,34,1,9,0,Transient,1,1,0,1,15,120.0
USA,1,0,None / Unknown,1,Transient,0,1,1,1,49,66.0
CHE,198,3,240,1,Transient,3,5,0,1,25,142.0
PRT,86,0,85,0,Transient,2,3,0,1,32,82.45
BRA,18,1,7,0,Transient,0,2,1,1,39,130.13
CHN,1,4,None / Unknown,0,Transient,1,1,0,1,5,81.99
PRT,50,1,22,0,Transient,0,4,0,1,9,72.0
ESP,80,1,9,0,Transient,1,3,0,1,19,121.5
FRA,220,0,9,0,Transient,1,1,0,1,36,85.5
PRT,1,0,240,0,Transient,0,1,0,1,14,48.0
ISR,48,0,9,0,Transient,2,0,0,1,16,135.0
ITA,16,0,17,0,Transient-Party,1,1,0,1,33,104.0
PRT,240,0,37,0,Transient,0,3,0,1,17,100.0
GBR,77,1,9,0,Transient-Party,2,2,1,1,16,95.2
FIN,5,0,11,0,Transient,2,2,0,1,52,63.0
USA,125,1,241,0,Transient,1,1,0,1,35,228.89
GBR,71,1,9,0,Transient,1,3,1,1,26,120.0
IRL,173,0,240,0,Transient,1,2,0,1,43,65.33
IRL,120,0,175,0,Transient,4,6,0,1,43,34.56
PRT,17,0,14,0,Transient,0,2,0,1,41,109.0
DZA,7,2,9,0,Contract,3,8,0,1,40,155.45
PRT,8,0,None / Unknown,0,Transient,0,1,0,2,44,54.9
FRA,148,1,9,1,Transient,1,3,0,1,34,182.83
PRT,100,2,8,0,Transient,0,1,0,1,52,85.0
CHN,40,1,9,0,Transient,0,2,1,1,40,136.89
CN,1,0,None / Unknown,0,Transient,0,1,0,1,22,130.0
LTU,85,1,250,0,Transient,3,7,1,1,44,65.44
FRA,129,1,14,0,Transient,1,4,0,1,34,135.0
PRT,2,0,None / Unknown,0,Transient,0,2,0,1,4,39.0
DZA,123,1,9,0,Transient,0,2,2,1,33,76.5
PRT,2,1,9,0,Transient,0,1,0,1,17,95.0
NLD,48,0,14,0,Transient,1,3,0,1,16,107.1
GBR,26,0,240,0,Transient,2,5,0,1,15,64.0
PRT,126,4,None / Unknown,0,Transient,1,2,1,1,17,44.1
PRT,1,0,None / Unknown,0,Transient,1,0,0,1,35,173.0
PRT,182,1,240,0,Transient,2,1,0,1,33,207.33
DEU,181,0,9,0,Transient,0,1,0,1,26,98.1
CZE,190,0,9,0,Transient,2,2,0,1,7,117.3
POL,13,1,9,0,Transient,1,5,0,1,18,165.0
GBR,68,0,250,1,Transient,2,3,0,1,13,86.2
PRT,1,0,240,0,Transient,0,0,0,1,30,0.0
PRT,7,1,None / Unknown,0,Transient,0,2,0,1,29,127.25
MAR,1,0,240,0,Transient,1,0,0,1,33,230.0
PRT,4,2,9,0,Transient,0,1,0,1,51,78.0
RUS,283,0,9,0,Transient,2,3,0,1,53,82.79
BRA,109,0,240,0,Transient,2,1,0,1,26,200.0
FRA,170,1,89,0,Transient,2,5,0,1,30,140.4
BEL,208,1,7,0,Transient,1,3,0,1,22,127.72
FRA,93,2,9,0,Transient,2,1,1,1,21,153.0
MKD,215,0,None / Unknown,0,Transient,1,2,1,1,48,75.0
GBR,51,1,9,0,Transient,0,2,0,1,37,125.1
ESP,113,2,240,0,Transient,2,2,0,1,49,32.4
PRT,268,1,7,0,Transient,0,2,0,1,17,84.55
CHE,30,0,9,0,Transient,0,2,0,1,16,157.5
DEU,3,2,240,1,Transient,0,3,0,1,35,261.0
GBR,147,2,240,0,Transient,2,5,0,1,21,81.2
DEU,150,0,27,0,Transient,1,0,0,1,40,80.75
DEU,87,1,16,0,Transient,2,1,0,2,44,80.75
PRT,68,0,83,0,Transient,2,2,0,2,18,79.56
GBR,287,0,None / Unknown,0,Transient-Party,1,3,0,10,42,44.5
FRA,270,0,9,0,Transient,1,3,0,1,29,89.1
IND,16,2,9,0,Transient,1,3,0,1,39,124.0
PRT,97,0,1,0,Transient,0,2,0,1,41,62.0
CYP,78,2,9,0,Transient,0,1,2,1,48,86.4
PRT,168,0,1,0,Transient-Party,0,2,0,1,37,60.0
AUT,40,2,9,0,Transient,1,3,0,1,13,152.33
ESP,50,1,240,1,Transient,1,1,0,1,49,49.2
PRT,1,2,241,1,Transient,0,1,1,1,28,126.0
PRT,6,0,None / Unknown,0,Transient,1,0,0,1,29,65.0
PRT,1,0,None / Unknown,0,Transient,0,1,0,1,30,0.0
POL,7,2,9,0,Transient,0,1,0,1,34,130.0
PRT,1,2,None / Unknown,1,Transient,0,2,0,1,49,62.5
DEU,66,2,7,0,Group,1,1,1,1,50,67.91
PRT,188,2,240,0,Transient,2,9,0,1,32,174.55
PRT,365,1,240,0,Transient,0,4,2,1,33,322.0
FRA,181,0,9,0,Transient,0,4,0,1,29,107.1
ITA,156,1,14,0,Transient,0,3,0,1,23,126.0
BEL,177,0,9,0,Transient,1,2,0,1,30,130.5
GBR,13,0,36,0,Transient,2,3,0,1,42,58.24
DEU,42,0,9,0,Transient,1,0,0,1,15,120.0
FRA,33,2,7,0,Transient,1,4,0,1,7,75.23
MAR,56,2,240,0,Transient,2,5,0,1,30,225.0
SWE,46,0,240,0,Transient,1,3,1,1,28,285.0
FRA,11,1,9,0,Transient,2,1,0,1,33,151.0
BRA,13,1,220,0,Transient-Party,1,0,0,4,13,85.0
PRT,2,1,9,0,Transient,0,1,0,1,28,160.0
ESP,5,3,9,0,Transient,0,2,1,1,36,124.5
FRA,17,1,250,0,Transient,1,1,0,1,22,169.0
NLD,17,1,240,0,Transient,1,2,0,1,34,242.33
PRT,11,2,None / Unknown,0,Transient,1,0,0,1,22,65.0
PRT,1,0,None / Unknown,1,Transient,0,1,0,1,4,39.0
GBR,81,1,240,0,Transient-Party,0,3,1,1,5,37.0
NLD,36,0,7,0,Transient,1,3,0,1,14,91.2
ITA,4,0,None / Unknown,0,Transient,2,9,0,1,3,45.82
PRT,20,1,9,0,Transient,1,4,0,1,31,159.0
PRT,1,0,8,0,Transient,0,0,0,1,48,0.0
FRA,105,0,250,0,Transient,2,5,1,1,24,230.0
USA,90,1,9,0,Transient,2,2,0,1,21,119.25
DEU,377,1,6,0,Transient-Party,0,2,0,51,42,115.0
BEL,7,0,None / Unknown,0,Transient-Party,1,3,0,5,9,47.0
BEL,45,0,9,0,Transient-Party,1,1,0,1,4,79.8
FRA,231,0,9,0,Transient,2,5,0,1,53,69.58
GBR,211,1,8,0,Transient,1,2,0,5,11,85.5
PRT,33,0,171,0,Transient,0,0,0,1,16,0.0
PRT,1,0,138,0,Transient,2,1,0,1,8,54.0
BRA,16,2,9,0,Transient,0,3,0,1,25,200.0
PRT,1,1,241,0,Transient,0,0,0,1,52,0.0
FRA,112,0,3,0,Transient-Party,0,1,2,2,23,90.0
PRT,15,0,9,0,Transient,1,0,0,1,38,89.0
MAR,191,1,9,0,Transient,4,8,0,1,24,130.5
PRT,117,0,11,0,Transient,0,2,0,1,18,123.62
IRL,69,1,9,0,Transient,1,3,1,1,47,92.23
IND,39,1,240,0,Transient,1,3,0,1,27,154.25
PRT,191,2,None / Unknown,0,Transient,2,3,1,1,32,150.35
GBR,302,0,None / Unknown,1,Transient-Party,0,3,0,1,21,67.0
PRT,68,2,240,0,Transient,2,1,0,1,50,40.5
IRL,161,0,240,0,Transient,2,5,0,1,2,37.8
PRT,271,1,240,0,Transient,3,7,0,1,38,87.3
AUS,7,0,8,0,Transient,0,2,0,1,15,160.0
FRA,186,2,9,0,Transient,0,5,0,1,29,90.95
PRT,7,0,None / Unknown,0,Transient,0,1,0,1,47,40.0
ITA,66,1,9,0,Transient,0,3,0,1,50,102.6
ESP,304,2,240,0,Transient,0,2,0,1,31,185.4
PRT,1,0,None / Unknown,0,Transient,0,1,0,1,45,78.0
ESP,2,0,250,1,Transient,2,1,0,1,40,95.0
FRA,182,0,250,0,Transient,2,5,0,1,33,209.86
FRA,28,0,240,0,Transient-Party,0,4,0,1,17,172.0
PRT,1,1,240,0,Transient,0,1,0,1,4,43.0
IRL,24,0,240,1,Transient,2,1,0,1,50,62.67
EST,12,0,None / Unknown,0,Transient-Party,1,3,1,1,23,111.35
NLD,5,0,85,0,Transient,0,5,0,1,2,56.0
PRT,2,1,None / Unknown,0,Transient-Party,0,1,0,1,5,0.0
PRT,16,1,240,0,Transient,0,2,0,1,4,68.0
GBR,336,1,240,0,Transient,3,7,0,1,26,105.13
DNK,97,0,11,0,Transient,1,4,0,1,19,78.95
BEL,306,0,14,0,Transient-Party,1,3,2,1,32,122.9
GBR,141,0,9,0,Transient,2,3,0,1,29,137.7
PRT,1,0,118,0,Transient,0,1,0,1,12,64.4
FRA,68,1,104,0,Transient-Party,0,3,0,1,53,71.33
BEL,49,0,394,0,Transient,1,4,0,1,26,112.1
CHN,207,3,9,0,Transient,0,1,0,1,41,108.9
NLD,4,0,240,1,Transient,0,1,0,1,6,58.0
PRT,303,0,21,0,Transient-Party,2,3,0,11,34,78.0
CN,109,2,241,1,Transient,2,3,0,1,28,85.59
GBR,51,0,339,0,Transient-Party,2,5,0,2,48,44.64
DEU,261,1,16,0,Transient,0,3,0,1,34,119.0
GBR,465,1,229,0,Transient-Party,0,3,0,7,30,112.67
PRT,13,0,None / Unknown,0,Transient,1,0,0,2,47,65.0
PRT,149,0,22,0,Transient,1,2,0,1,36,80.75
GBR,197,2,9,0,Transient,2,3,1,1,35,137.7
AUT,131,0,9,0,Transient,0,3,1,1,24,171.0
DEU,126,0,75,0,Transient,3,10,0,1,23,98.6
GBR,17,0,171,0,Transient,0,3,0,1,13,100.0
POL,79,2,9,0,Transient,1,2,0,1,16,128.7
CHN,83,0,9,0,Transient,0,1,0,1,23,126.0
IRL,126,2,240,0,Transient,2,5,0,1,21,90.0
ESP,12,1,240,0,Transient,2,1,0,1,49,54.4
PRT,313,0,298,0,Transient-Party,2,5,0,5,14,48.0
FRA,4,0,52,0,Transient,1,0,0,1,7,75.0
PRT,158,2,240,0,Transient,2,6,0,1,36,139.0
LBN,39,2,9,0,Contract,0,1,0,1,43,96.3
NLD,60,1,8,0,Transient,1,1,0,1,23,130.0
PRT,213,0,None / Unknown,0,Transient-Party,1,2,0,1,40,106.0
PRT,3,1,None / Unknown,1,Transient,1,1,0,1,26,67.0
PRT,30,0,39,0,Transient-Party,0,1,0,2,19,130.0
PRT,78,2,240,1,Transient,2,5,1,1,28,106.84
PRT,35,2,9,0,Transient,0,3,0,1,3,106.0
CHE,1,0,None / Unknown,1,Transient,1,0,1,1,35,220.5
ESP,9,1,9,0,Transient,2,2,0,1,44,137.63
PRT,6,1,241,1,Transient,0,1,1,1,43,50.05
FRA,21,0,9,0,Transient,1,3,0,1,52,88.4
PRT,213,0,19,0,Transient-Party,1,3,2,2,35,104.0
PRT,1,1,None / Unknown,0,Transient,0,0,0,1,26,0.0
DEU,47,1,None / Unknown,0,Transient-Party,0,4,3,1,11,72.5
ITA,219,0,9,0,Transient,2,2,0,1,34,198.0
PRT,5,0,None / Unknown,0,Transient,1,0,0,1,8,0.0
ESP,39,1,240,0,Transient,0,2,0,1,39,139.0
PRT,35,0,27,0,Transient,2,3,0,1,25,96.3
GBR,253,1,250,1,Transient,0,3,2,1,32,236.1
FRA,89,2,9,0,Transient,2,3,0,1,27,107.1
NLD,5,1,240,1,Transient,2,5,0,1,50,58.43
AGO,28,1,9,0,Transient,4,10,0,1,1,96.9
FRA,109,1,240,0,Transient,2,2,1,1,18,52.2
GBR,118,1,240,0,Transient,2,5,0,1,53,99.51
ROU,214,1,11,0,Transient,2,5,0,1,26,68.4
GBR,334,0,None / Unknown,0,Transient-Party,2,5,2,1,38,69.43
GBR,173,0,9,0,Transient,2,5,0,1,28,80.75
POL,87,1,240,0,Transient,2,5,0,1,41,118.0
PRT,11,2,9,0,Transient,1,0,0,1,8,110.0
ITA,139,0,9,0,Transient,2,2,0,1,33,114.3
DEU,23,3,9,0,Transient,0,2,0,1,40,129.0
PRT,87,0,71,0,Transient,2,5,0,1,18,70.0
PRT,33,1,250,0,Transient,2,5,0,1,34,282.32
AUT,115,0,9,0,Transient,0,3,0,6,20,135.0
BRA,207,0,9,0,Transient,1,2,0,1,53,113.4
FRA,67,0,9,0,Transient,1,1,0,1,6,102.6
IRL,10,0,95,0,Transient,1,3,0,1,10,29.0
BEL,191,0,9,0,Transient,1,2,0,1,35,94.5
PRT,32,0,119,0,Transient-Party,0,2,3,1,47,85.0
PRT,4,0,75,0,Transient,0,2,0,1,38,115.0
Missing,175,0,None / Unknown,0,Transient,2,6,0,1,36,159.5
PRT,1,0,None / Unknown,0,Transient,0,1,0,1,43,102.5
PRT,4,0,250,0,Transient,2,0,0,1,16,181.0
DEU,40,0,9,0,Transient,0,4,0,1,10,100.3
EST,26,0,9,0,Transient,0,2,1,1,44,165.0
FIN,39,0,11,0,Transient,2,3,0,1,1,60.97
FRA,14,0,240,1,Transient,1,2,0,1,40,131.0
PRT,41,1,240,1,Transient,2,1,0,1,17,74.67
DEU,171,0,298,0,Transient-Party,1,1,0,1,15,54.5
GBR,158,1,40,0,Contract,4,7,0,1,24,70.4
PRT,15,0,None / Unknown,0,Transient,0,1,0,1,50,65.0
DEU,1,0,None / Unknown,0,Transient,1,3,0,1,30,139.0
GBR,31,1,240,0,Transient,2,1,0,1,18,91.67
FRA,32,0,14,0,Transient,1,5,2,1,37,170.68
